	Modpack info
===========================
| File Name						| File size (Total=88.7MB add joban cilent)	| Link										| Note
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| -ash-1.1.16.jar					| 851KB						| https://www.curseforge.com/minecraft/mc-mods/ash-another-simple-hud		| 
|							|						| 										| 
| -betterbiomeblend-1.18.2-1.3.5-fabric.jar		| 221KB						| https://www.curseforge.com/minecraft/mc-mods/better-biome-blend		| 
|							|						| 										| 
| -continuity-2.0.1+1.18.2.jar				| 1,103KB(1.07MB)				| https://www.curseforge.com/minecraft/mc-mods/continuity			|
|							|						| 										| 
| -fabric-api-0.59.1+1.18.2.jar				| 1,412KB(1.37MB)				| https://www.curseforge.com/minecraft/mc-mods/fabric-api			| 
|							|						|										| 
| -indium-1.0.7+mc1.18.2.jar				| 116KB						| https://www.curseforge.com/minecraft/mc-mods/indium				| 
|							|						| 										| 
| -iris-mc1.18.2-1.4.2.jar				| 2,550KB(2.48MB)				| https://www.curseforge.com/minecraft/mc-mods/irisshaders			| 
|							|						| 										| 
| -Joban-Client-Mod-1.18.2-1.1.7.jar [Join Discord]	| 19,155KB(18.7MB)				| (unable here, olease join The Distric of Joban [Discord])			| open "v1.18.2 modpack info\get cilent mods.bat" to join Discord and download 
|							|						| 										| 
| -lithium-fabric-mc1.18.2-0.10.2.jar			| 537KB						| https://www.curseforge.com/minecraft/mc-mods/lithium				| 
|							|						| 										| 
| -logical_zoom-0.0.14.jar				| 118KB						| https://www.curseforge.com/minecraft/mc-mods/logical-zoom			| 
|							|						| 										| 
| -modmenu-3.2.5.jar					| 573KB						| https://www.curseforge.com/minecraft/mc-mods/modmenu				| 
|							|						| 										| 
| -Mo-Glass-1.6.1-MC1.18.2.jar				| 571KB						| https://www.curseforge.com/minecraft/mc-mods/mo-glass				| 
|							|						| 										| 
| -MTR-fabric-1.18.2-3.1.8.jar				| 56,767KB(55.4MB)				| https://www.curseforge.com/minecraft/mc-mods/minecraft-transit-railway	| View trailer in: https://www.youtube.com/watch?v=ta6wcLGn5Ek
|							|						| 										| 
| -smoothboot-fabric-1.18.2-1.7.0.jar			| 87KB						| https://www.curseforge.com/minecraft/mc-mods/smooth-boot			| 
|							|						| 										| 
| -sodium-fabric-mc1.18.2-0.4.1+build.15.jar		| 1,288KB(1.25MB)				| https://www.curseforge.com/minecraft/mc-mods/sodium				| 
|							|						| 										| 
| -starlight-1.0.2+fabric.89b8d9f.jar			| 125KB						| https://www.curseforge.com/minecraft/mc-mods/starlight			| 
|							|						| 										| 
| -worldedit-mod-7.2.10.jar				| 5,372KB(5.24MB)				| https://www.curseforge.com/minecraft/mc-mods/worldedit			| 
|							|						|										| 
